Quarter/Year,,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1,2021-2,2021-3,2021-4,2022-1,2022-2,2022-3,2022-4,2023-1,2023-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,ISIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP at basic prices,," 41,793.4 "," 42,040.3 "," 42,450.8 "," 41,692.8 "," 42,009.3 "," 42,556.9 "," 43,407.5 "," 45,595.1 "," 43,551.8 "," 44,577.4 "," 46,134.4 "," 46,640.2 "," 44,047.6 "," 43,895.3 "," 44,740.6 "," 45,119.9 "," 42,602.1 "," 40,704.6 "," 40,157.8 "," 42,450.3 "," 38,912.7 "," 38,945.5 "," 39,928.7 "," 40,777.5 "," 38,978.9 "," 39,170.5 "," 39,200.1 "," 39,111.8 "," 38,713.7 "," 38,565.6 "," 39,778.4 "," 40,545.8 "," 37,804.8 "," 32,964.8 "," 35,486.7 "," 36,228.1 "," 34,726.5 "," 33,316.5 "," 35,716.6 "," 36,429.5 "," 35,158.2 "," 35,710.1 "," 36,944.1 "," 37,100.9 "," 35,650.0 "," 36,995.5 "
Of which,,,,," 167,977.3 ",,,," 173,568.8 ",,,," 180,903.9 ",,,," 177,803.5 ",,,," 165,914.8 ",,,," 158,564.4 ",,,,,,,,,,,,,,,,,,,,,,
Crude Oil Exploration & Extraction,B1," 3,027.1 "," 3,182.4 "," 3,188.1 "," 3,158.5 "," 3,048.6 "," 3,028.4 "," 3,090.4 "," 3,093.5 "," 2,960.9 "," 3,022.2 "," 3,009.6 "," 3,034.4 "," 2,990.0 "," 2,987.1 "," 2,856.5 "," 2,884.5 "," 2,756.2 "," 2,800.4 "," 2,661.1 "," 2,586.5 "," 2,637.0 "," 2,659.3 "," 2,625.0 "," 2,665.0 "," 2,544.0 "," 2,604.4 "," 2,452.8 "," 2,185.8 "," 2,185.4 "," 2,251.0 "," 2,264.2 "," 2,344.3 "," 2,171.9 "," 2,121.1 "," 2,186.8 "," 2,135.4 "," 2,176.8 "," 2,253.8 "," 2,439.9 "," 2,474.6 "," 2,345.7 "," 2,316.8 "," 2,314.9 "," 2,324.6 "," 2,220.7 "," 2,275.8 "
Condensate Extraction,B2," 1,344.6 "," 1,100.6 ", 970.9 , 948.3 ," 1,132.5 "," 1,092.2 "," 1,257.9 "," 1,160.0 "," 1,120.0 "," 1,120.6 "," 1,459.9 "," 1,442.1 "," 1,362.0 "," 1,192.5 "," 1,201.5 "," 1,043.9 "," 1,177.0 ", 795.4 , 893.0 ," 1,349.7 "," 1,303.3 "," 1,124.8 "," 1,128.2 "," 1,064.5 ", 947.4 , 760.7 , 757.4 , 796.7 , 874.5 , 851.8 , 773.0 , 700.6 , 778.2 , 747.7 , 745.4 , 794.4 , 807.5 , 806.3 , 589.5 , 565.8 , 591.4 , 599.4 , 601.6 , 509.7 , 539.3 , 509.2 
Natural Gas Exploration & Extraction,B3," 4,074.5 "," 3,924.4 "," 4,083.1 "," 3,676.6 "," 4,177.0 "," 4,020.0 "," 3,872.5 "," 3,996.5 "," 4,062.7 "," 3,819.1 "," 4,026.9 "," 3,915.8 "," 3,879.9 "," 3,619.4 "," 3,680.3 "," 3,595.3 "," 3,445.5 "," 3,201.1 "," 2,940.3 "," 3,173.8 "," 3,107.7 "," 3,008.4 "," 3,337.0 "," 3,339.3 "," 3,523.9 "," 3,447.5 "," 3,319.9 "," 3,440.0 "," 3,569.8 "," 3,290.5 "," 3,507.8 "," 3,390.8 "," 3,384.1 "," 3,075.6 "," 2,760.3 "," 2,432.0 "," 2,656.1 "," 2,354.3 "," 2,219.8 "," 2,381.0 "," 2,513.3 "," 2,434.1 "," 2,726.8 "," 2,452.3 "," 2,530.1 "," 2,459.2 "
Asphalt ,B4, 55.2 , 55.2 , 55.2 , 55.1 , 55.1 , 55.2 , 55.1 , 55.1 , 55.1 , 55.1 , 55.2 , 55.1 , 55.1 , 49.5 , 28.1 , 47.5 , 23.7 , 2.4 , 30.4 , 50.2 , 11.6 , 28.6 , 16.0 , 18.9 , 39.6 , 40.2 , 24.0 , 27.5 , 12.2 , 15.4 , 17.1 , 28.0 , 22.2 , 11.8 , 38.5 , 35.4 , 13.8 , 16.4 , 9.0 , 9.9 , 1.6 , 13.5 , 23.9 , 31.8 , 40.6 , 21.5 
Petroleum support services,B5, 679.2 , 630.4 , 447.1 , 626.5 , 572.3 , 800.6 , 708.3 , 523.8 , 547.7 , 707.1 , 574.4 , 488.7 , 613.3 , 847.5 , 709.9 , 760.8 , 642.7 , 440.3 , 486.7 , 474.5 , 485.3 , 424.1 , 470.9 , 313.2 , 472.6 , 385.3 , 395.9 , 366.9 , 310.2 , 326.1 , 395.5 , 400.6 , 209.8 , 95.7 , 206.2 , 263.7 , 261.1 , 310.2 , 336.9 , 243.7 , 129.9 , 326.4 , 417.0 , 359.2 , 307.2 , 279.7 
Refining (incl. LNG),C1," 2,638.6 "," 2,607.8 "," 2,611.7 "," 2,181.1 "," 2,610.4 "," 2,755.2 "," 2,674.4 "," 2,447.3 "," 2,340.0 "," 2,441.1 "," 2,553.2 "," 2,428.0 "," 2,487.9 "," 2,470.7 "," 2,478.4 "," 2,322.8 "," 2,472.4 "," 2,342.2 "," 2,153.3 "," 2,365.9 "," 2,175.1 "," 2,087.0 "," 2,370.0 "," 2,356.0 "," 2,399.6 "," 2,390.4 "," 2,238.1 "," 1,612.1 "," 1,657.8 "," 1,465.2 "," 1,582.0 "," 1,524.0 "," 1,564.4 "," 1,405.0 "," 1,262.6 ", 915.4 ," 1,062.3 ", 848.2 , 748.9 , 910.1 ," 1,020.0 ", 966.8 ," 1,056.7 ", 907.9 , 986.8 , 916.0 
Manufacture of Petrochemicals,C2," 3,091.3 "," 3,027.3 "," 2,932.7 "," 2,534.5 "," 2,899.9 "," 2,718.4 "," 2,588.4 "," 2,829.0 "," 2,999.0 "," 2,852.8 "," 2,761.4 "," 2,527.2 "," 2,834.4 "," 2,756.5 "," 2,912.7 "," 3,020.8 "," 2,838.2 "," 2,640.2 "," 2,606.0 "," 2,707.7 "," 2,631.0 "," 2,802.5 "," 2,915.8 "," 2,841.0 "," 2,869.5 "," 2,723.7 "," 2,668.5 "," 2,798.1 "," 3,238.0 "," 3,112.8 "," 3,135.8 "," 2,872.9 "," 3,070.0 "," 2,841.7 "," 2,346.8 "," 2,637.5 "," 2,883.3 "," 2,963.6 "," 2,992.6 "," 2,865.9 "," 2,718.9 "," 2,607.0 "," 2,752.6 "," 2,764.4 "," 2,579.8 "," 2,638.2 "
Petroleum and natural gas distribution,G1," 1,290.3 "," 1,297.9 "," 1,283.5 "," 1,203.8 "," 1,312.1 "," 1,302.7 "," 1,233.3 "," 1,335.1 "," 1,335.5 "," 1,289.3 "," 1,240.0 "," 1,217.1 "," 1,264.4 "," 1,266.5 "," 1,288.1 "," 1,278.9 "," 1,230.6 "," 1,171.3 "," 1,112.0 "," 1,133.4 "," 1,116.6 "," 1,170.7 "," 1,189.1 "," 1,176.2 "," 1,175.2 "," 1,171.6 "," 1,144.9 "," 1,134.3 "," 1,485.9 "," 1,462.7 "," 1,503.7 "," 1,465.6 "," 1,413.2 "," 1,163.3 "," 1,137.4 "," 1,359.2 "," 1,466.2 "," 1,385.3 "," 1,491.1 "," 1,477.7 "," 1,479.2 "," 1,459.8 "," 1,541.9 "," 1,479.6 "," 1,459.6 "," 1,488.0 "
Source:  Central Statistical Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
